ligne_vente_id;vente_id;produit_id;qte_vente; pu_vente ; montant_ligne ; cout_unitaire ; cout_total 
299;22;7;5; 750 FCFA ; 3.750 FCFA ; 600 FCFA ; 3.000 FCFA 
300;22;15;7; 1.000 FCFA ; 7.000 FCFA ; 742 FCFA ; 5.192 FCFA 
301;22;94;1; 400 FCFA ; 400 FCFA ; 340 FCFA ; 340 FCFA 
302;22;31;1; 1.000 FCFA ; 1.000 FCFA ; 900 FCFA ; 900 FCFA 
303;22;4;3; 50 FCFA ; 150 FCFA ; 39 FCFA ; 118 FCFA 
304;22;105;3; 50 FCFA ; 150 FCFA ; 30 FCFA ; 90 FCFA 
305;22;83;1; 650 FCFA ; 650 FCFA ; 542 FCFA ; 542 FCFA 
306;22;10;2; 750 FCFA ; 1.500 FCFA ; 596 FCFA ; 1.192 FCFA 
307;22;75;1; 800 FCFA ; 800 FCFA ; 650 FCFA ; 650 FCFA 
308;22;74;1; 800 FCFA ; 800 FCFA ; 700 FCFA ; 700 FCFA 
309;22;84;1; 500 FCFA ; 500 FCFA ; 583 FCFA ; 583 FCFA 
310;22;33;1; 400 FCFA ; 400 FCFA ; 225 FCFA ; 225 FCFA 
311;22;26;1; 100 FCFA ; 100 FCFA ; 86 FCFA ; 86 FCFA 
312;22;62;1; 250 FCFA ; 250 FCFA ; 192 FCFA ; 192 FCFA 
313;22;73;1; 500 FCFA ; 500 FCFA ; 367 FCFA ; 367 FCFA 
314;22;84;1; 700 FCFA ; 700 FCFA ; 583 FCFA ; 583 FCFA 
315;22;53;1; 800 FCFA ; 800 FCFA ; 600 FCFA ; 600 FCFA 
316;22;36;1; 300 FCFA ; 300 FCFA ; 200 FCFA ; 200 FCFA 
317;22;56;1; 1.200 FCFA ; 1.200 FCFA ; 650 FCFA ; 650 FCFA 
318;22;97;15; 25 FCFA ; 375 FCFA ; 19 FCFA ; 285 FCFA 
319;23;17;13; 600 FCFA ; 7.800 FCFA ; 450 FCFA ; 5.850 FCFA 
320;23;54;10; 800 FCFA ; 8.000 FCFA ; 596 FCFA ; 5.958 FCFA 
321;23;9;21; 750 FCFA ; 15.750 FCFA ; 650 FCFA ; 13.650 FCFA 
322;23;10;4; 750 FCFA ; 3.000 FCFA ; 596 FCFA ; 2.383 FCFA 
323;23;11;11; 750 FCFA ; 8.250 FCFA ; 650 FCFA ; 7.150 FCFA 
324;23;18;2; 750 FCFA ; 1.500 FCFA ; 650 FCFA ; 1.300 FCFA 
325;23;55;3; 900 FCFA ; 2.700 FCFA ; 649 FCFA ; 1.946 FCFA 
326;23;15;1; 1.000 FCFA ; 1.000 FCFA ; 742 FCFA ; 742 FCFA 
327;23;41;1; 50 FCFA ; 50 FCFA ; 37 FCFA ; 37 FCFA 
328;23;4;7; 50 FCFA ; 350 FCFA ; 39 FCFA ; 274 FCFA 
329;23;6;1; 500 FCFA ; 500 FCFA ; 317 FCFA ; 317 FCFA 
330;23;26;1; 100 FCFA ; 100 FCFA ; 86 FCFA ; 86 FCFA 
331;23;44;1; 75 FCFA ; 75 FCFA ; 57 FCFA ; 57 FCFA 
332;23;45;4; 50 FCFA ; 200 FCFA ; 40 FCFA ; 160 FCFA 
333;23;34;1; 1.200 FCFA ; 1.200 FCFA ; 1.000 FCFA ; 1.000 FCFA 
334;23;64;2; 200 FCFA ; 400 FCFA ; 240 FCFA ; 479 FCFA 
335;23;46;1; 1.500 FCFA ; 1.500 FCFA ; 1.400 FCFA ; 1.400 FCFA 
336;23;7;2; 750 FCFA ; 1.500 FCFA ; 600 FCFA ; 1.200 FCFA 
337;23;70;1; 350 FCFA ; 350 FCFA ; 325 FCFA ; 325 FCFA 
338;23;84;2; 700 FCFA ; 1.400 FCFA ; 583 FCFA ; 1.167 FCFA 
339;23;33;1; 400 FCFA ; 400 FCFA ; 225 FCFA ; 225 FCFA 
340;23;36;1; 300 FCFA ; 300 FCFA ; 200 FCFA ; 200 FCFA 
341;23;16;3; 750 FCFA ; 2.250 FCFA ; 650 FCFA ; 1.950 FCFA 
342;23;2;1; 50 FCFA ; 50 FCFA ; 19 FCFA ; 19 FCFA 
343;23;14;1; 750 FCFA ; 750 FCFA ; 554 FCFA ; 554 FCFA 
344;23;72;1; 500 FCFA ; 500 FCFA ; 417 FCFA ; 417 FCFA 
345;23;28;13; 25 FCFA ; 325 FCFA ; 13 FCFA ; 172 FCFA 
346;23;75;1; 800 FCFA ; 800 FCFA ; 650 FCFA ; 650 FCFA 
347;23;99;6; 25 FCFA ; 150 FCFA ; 20 FCFA ; 120 FCFA 
348;23;29;1; 500 FCFA ; 500 FCFA ; 370 FCFA ; 370 FCFA 
349;23;63;1; 100 FCFA ; 100 FCFA ; 71 FCFA ; 71 FCFA 
350;23;77;2; 700 FCFA ; 1.400 FCFA ; 550 FCFA ; 1.100 FCFA 
351;24;28;3; 25 FCFA ; 75 FCFA ; 13 FCFA ; 40 FCFA 
352;24;45;4; 50 FCFA ; 200 FCFA ; 40 FCFA ; 160 FCFA 
353;24;44;1; 75 FCFA ; 75 FCFA ; 57 FCFA ; 57 FCFA 
354;24;9;23; 750 FCFA ; 17.250 FCFA ; 650 FCFA ; 14.950 FCFA 
355;24;12;1; 750 FCFA ; 750 FCFA ; 650 FCFA ; 650 FCFA 
356;24;16;7; 750 FCFA ; 5.250 FCFA ; 650 FCFA ; 4.550 FCFA 
357;24;11;8; 750 FCFA ; 6.000 FCFA ; 650 FCFA ; 5.200 FCFA 
358;24;73;2; 500 FCFA ; 1.000 FCFA ; 367 FCFA ; 733 FCFA 
359;24;81;2; 500 FCFA ; 1.000 FCFA ; 242 FCFA ; 483 FCFA 
360;24;33;1; 400 FCFA ; 400 FCFA ; 225 FCFA ; 225 FCFA 
361;24;14;1; 750 FCFA ; 750 FCFA ; 554 FCFA ; 554 FCFA 
362;24;84;4; 700 FCFA ; 2.800 FCFA ; 583 FCFA ; 2.333 FCFA 
363;24;4;3; 50 FCFA ; 150 FCFA ; 39 FCFA ; 118 FCFA 
364;24;10;4; 750 FCFA ; 3.000 FCFA ; 596 FCFA ; 2.383 FCFA 
365;24;15;4; 1.000 FCFA ; 4.000 FCFA ; 742 FCFA ; 2.967 FCFA 
366;24;7;9; 750 FCFA ; 6.750 FCFA ; 600 FCFA ; 5.400 FCFA 
367;24;55;2; 800 FCFA ; 1.600 FCFA ; 649 FCFA ; 1.298 FCFA 
368;24;24;1; 500 FCFA ; 500 FCFA ; 333 FCFA ; 333 FCFA 
369;24;75;1; 800 FCFA ; 800 FCFA ; 650 FCFA ; 650 FCFA 
370;24;85;2; 500 FCFA ; 1.000 FCFA ; 392 FCFA ; 783 FCFA 
371;24;6;2; 500 FCFA ; 1.000 FCFA ; 317 FCFA ; 633 FCFA 
372;25;9;42; 750 FCFA ; 31.500 FCFA ; 650 FCFA ; 27.300 FCFA 
373;25;17;5; 600 FCFA ; 3.000 FCFA ; 450 FCFA ; 2.250 FCFA 
374;25;45;4; 50 FCFA ; 200 FCFA ; 40 FCFA ; 160 FCFA 
375;25;44;1; 75 FCFA ; 75 FCFA ; 57 FCFA ; 57 FCFA 
376;25;41;12; 50 FCFA ; 600 FCFA ; 37 FCFA ; 448 FCFA 
377;25;4;6; 50 FCFA ; 300 FCFA ; 39 FCFA ; 235 FCFA 
378;25;73;2; 500 FCFA ; 1.000 FCFA ; 367 FCFA ; 733 FCFA 
379;25;7;16; 750 FCFA ; 12.000 FCFA ; 600 FCFA ; 9.600 FCFA 
380;25;16;16; 750 FCFA ; 12.000 FCFA ; 650 FCFA ; 10.400 FCFA 
381;25;2;4; 50 FCFA ; 200 FCFA ; 19 FCFA ; 75 FCFA 
382;25;12;16; 750 FCFA ; 12.000 FCFA ; 650 FCFA ; 10.400 FCFA 
383;25;54;16; 800 FCFA ; 12.800 FCFA ; 596 FCFA ; 9.533 FCFA 
384;25;10;17; 750 FCFA ; 12.750 FCFA ; 596 FCFA ; 10.129 FCFA 
385;25;11;27; 750 FCFA ; 20.250 FCFA ; 650 FCFA ; 17.550 FCFA 
386;25;18;11; 750 FCFA ; 8.250 FCFA ; 650 FCFA ; 7.150 FCFA 
387;25;52;9; 600 FCFA ; 5.400 FCFA ; 471 FCFA ; 4.238 FCFA 
388;25;55;11; 900 FCFA ; 9.900 FCFA ; 649 FCFA ; 7.137 FCFA 
389;25;15;1; 1.000 FCFA ; 1.000 FCFA ; 742 FCFA ; 742 FCFA 
390;25;29;1; 500 FCFA ; 500 FCFA ; 370 FCFA ; 370 FCFA 
391;25;84;3; 700 FCFA ; 2.100 FCFA ; 583 FCFA ; 1.750 FCFA 
392;25;14;1; 750 FCFA ; 750 FCFA ; 554 FCFA ; 554 FCFA 
393;25;71;1; 500 FCFA ; 500 FCFA ; 417 FCFA ; 417 FCFA 
394;25;33;1; 400 FCFA ; 400 FCFA ; 225 FCFA ; 225 FCFA 
395;25;40;2; 50 FCFA ; 100 FCFA ; 35 FCFA ; 71 FCFA 
396;25;9;15; 750 FCFA ; 11.250 FCFA ; 650 FCFA ; 9.750 FCFA 
397;25;11;4; 750 FCFA ; 3.000 FCFA ; 650 FCFA ; 2.600 FCFA 
398;25;16;2; 750 FCFA ; 1.500 FCFA ; 650 FCFA ; 1.300 FCFA 
